
==========
== CUDA ==
==========

CUDA Version 12.1.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.


################################################################################
# HORIZON: 1 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+1
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:37:51] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.06745	valid-mlogloss:1.07058
[360]	train-mlogloss:0.04621	valid-mlogloss:0.70243
[361]	train-mlogloss:0.04605	valid-mlogloss:0.70300
[362]	train-mlogloss:0.04585	valid-mlogloss:0.70390
[363]	train-mlogloss:0.04566	valid-mlogloss:0.70382
[364]	train-mlogloss:0.04549	valid-mlogloss:0.70441
[365]	train-mlogloss:0.04529	valid-mlogloss:0.70437
[366]	train-mlogloss:0.04513	valid-mlogloss:0.70421
[367]	train-mlogloss:0.04495	valid-mlogloss:0.70431
[368]	train-mlogloss:0.04477	valid-mlogloss:0.70326
[369]	train-mlogloss:0.04458	valid-mlogloss:0.70286
[370]	train-mlogloss:0.04440	valid-mlogloss:0.70341
[371]	train-mlogloss:0.04425	valid-mlogloss:0.70311
[372]	train-mlogloss:0.04407	valid-mlogloss:0.70310
[373]	train-mlogloss:0.04389	valid-mlogloss:0.70353
[374]	train-mlogloss:0.04372	valid-mlogloss:0.70279
[375]	train-mlogloss:0.04356	valid-mlogloss:0.70344
[376]	train-mlogloss:0.04341	valid-mlogloss:0.70366
[377]	train-mlogloss:0.04325	valid-mlogloss:0.70381
[378]	train-mlogloss:0.04309	valid-mlogloss:0.70397
[379]	train-mlogloss:0.04291	valid-mlogloss:0.70465
[380]	train-mlogloss:0.04275	valid-mlogloss:0.70376
[381]	train-mlogloss:0.04261	valid-mlogloss:0.70374
[382]	train-mlogloss:0.04243	valid-mlogloss:0.70323
[383]	train-mlogloss:0.04228	valid-mlogloss:0.70437
[384]	train-mlogloss:0.04212	valid-mlogloss:0.70360
[385]	train-mlogloss:0.04196	valid-mlogloss:0.70420
[386]	train-mlogloss:0.04180	valid-mlogloss:0.70404
[387]	train-mlogloss:0.04165	valid-mlogloss:0.70451
[388]	train-mlogloss:0.04150	valid-mlogloss:0.70416
[389]	train-mlogloss:0.04135	valid-mlogloss:0.70347
[390]	train-mlogloss:0.04120	valid-mlogloss:0.70346
[391]	train-mlogloss:0.04106	valid-mlogloss:0.70279
[392]	train-mlogloss:0.04091	valid-mlogloss:0.70316
[393]	train-mlogloss:0.04078	valid-mlogloss:0.70273
[394]	train-mlogloss:0.04063	valid-mlogloss:0.70264
[395]	train-mlogloss:0.04047	valid-mlogloss:0.70277
[396]	train-mlogloss:0.04035	valid-mlogloss:0.70332
[397]	train-mlogloss:0.04020	valid-mlogloss:0.70392
[398]	train-mlogloss:0.04006	valid-mlogloss:0.70419
[399]	train-mlogloss:0.03992	valid-mlogloss:0.70376
[400]	train-mlogloss:0.03979	valid-mlogloss:0.70338
[401]	train-mlogloss:0.03965	valid-mlogloss:0.70393
[402]	train-mlogloss:0.03952	valid-mlogloss:0.70362
[403]	train-mlogloss:0.03939	valid-mlogloss:0.70452
[404]	train-mlogloss:0.03924	valid-mlogloss:0.70438
[405]	train-mlogloss:0.03911	valid-mlogloss:0.70475
[406]	train-mlogloss:0.03899	valid-mlogloss:0.70533
[407]	train-mlogloss:0.03886	valid-mlogloss:0.70545
[408]	train-mlogloss:0.03873	valid-mlogloss:0.70566
[409]	train-mlogloss:0.03859	valid-mlogloss:0.70620
[Extract leaf indices & hash]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:38:46] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)

✓ Data loaded. Train=(6942, 823), Valid=(168, 823), Test=(2242, 823)
Class distribution (train):
0    0.390810
1    0.277874
2    0.331317
Name: proportion, dtype: float64

============================================================
Train DeepGBM Deep Component (h+6)
============================================================

[Building Deep component...]
Deep params: 3,318,403 | Device: cuda
Class weights: {'low': 0.852930335422042, 'mid': 1.199585277345775, 'high': 1.0060869565217392}
Epoch   1/100 | Loss 0.9593 | Val F1 0.4203 | LR 4.00e-04 | 0.4s ✓ warmup improve
Epoch   2/100 | Loss 0.7777 | Val F1 0.4382 | LR 4.00e-04 | 0.4s ✓ warmup improve
Epoch   3/100 | Loss 0.6834 | Val F1 0.4118 | LR 4.00e-04 | 0.4s
Epoch   4/100 | Loss 0.6319 | Val F1 0.3973 | LR 4.00e-04 | 0.4s
Epoch   5/100 | Loss 0.5805 | Val F1 0.4341 | LR 4.00e-04 | 0.4s
Epoch   6/100 | Loss 0.5373 | Val F1 0.4222 | LR 4.00e-04 | 0.4s (patience 19/20)
Epoch   7/100 | Loss 0.4976 | Val F1 0.4256 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch   8/100 | Loss 0.4674 | Val F1 0.4017 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch   9/100 | Loss 0.4518 | Val F1 0.4182 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  10/100 | Loss 0.4299 | Val F1 0.4190 | LR 2.00e-04 | 0.4s (patience 15/20)
Epoch  11/100 | Loss 0.4184 | Val F1 0.4190 | LR 2.00e-04 | 0.4s (patience 15/20)
Epoch  12/100 | Loss 0.3993 | Val F1 0.4190 | LR 2.00e-04 | 0.4s (patience 15/20)
Epoch  13/100 | Loss 0.3926 | Val F1 0.4190 | LR 2.00e-04 | 0.4s (patience 15/20)
Epoch  14/100 | Loss 0.3780 | Val F1 0.4190 | LR 2.00e-04 | 0.4s (patience 15/20)
Epoch  15/100 | Loss 0.3562 | Val F1 0.4549 | LR 2.00e-04 | 0.4s ✓ NEW BEST
Epoch  16/100 | Loss 0.3540 | Val F1 0.4549 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  17/100 | Loss 0.3394 | Val F1 0.4549 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  18/100 | Loss 0.3280 | Val F1 0.4549 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  19/100 | Loss 0.3188 | Val F1 0.4549 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  20/100 | Loss 0.3066 | Val F1 0.4510 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  21/100 | Loss 0.2858 | Val F1 0.4510 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  22/100 | Loss 0.2915 | Val F1 0.4510 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  23/100 | Loss 0.2788 | Val F1 0.4510 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  24/100 | Loss 0.2681 | Val F1 0.4510 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  25/100 | Loss 0.2515 | Val F1 0.4865 | LR 2.00e-04 | 0.4s ✓ NEW BEST
Epoch  26/100 | Loss 0.2449 | Val F1 0.4865 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  27/100 | Loss 0.2391 | Val F1 0.4865 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  28/100 | Loss 0.2359 | Val F1 0.4865 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  29/100 | Loss 0.2229 | Val F1 0.4865 | LR 2.00e-04 | 0.4s (patience 20/20)
Epoch  30/100 | Loss 0.2193 | Val F1 0.4578 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  31/100 | Loss 0.2137 | Val F1 0.4578 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  32/100 | Loss 0.2007 | Val F1 0.4578 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  33/100 | Loss 0.1959 | Val F1 0.4578 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  34/100 | Loss 0.1847 | Val F1 0.4578 | LR 2.00e-04 | 0.4s (patience 19/20)
Epoch  35/100 | Loss 0.1872 | Val F1 0.4640 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch  36/100 | Loss 0.1766 | Val F1 0.4640 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch  37/100 | Loss 0.1676 | Val F1 0.4640 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch  38/100 | Loss 0.1584 | Val F1 0.4640 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch  39/100 | Loss 0.1598 | Val F1 0.4640 | LR 2.00e-04 | 0.4s (patience 18/20)
Epoch  40/100 | Loss 0.1533 | Val F1 0.4661 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch  41/100 | Loss 0.1481 | Val F1 0.4661 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch  42/100 | Loss 0.1386 | Val F1 0.4661 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch  43/100 | Loss 0.1391 | Val F1 0.4661 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch  44/100 | Loss 0.1373 | Val F1 0.4661 | LR 2.00e-04 | 0.4s (patience 17/20)
Epoch  45/100 | Loss 0.1285 | Val F1 0.4521 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  46/100 | Loss 0.1237 | Val F1 0.4521 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  47/100 | Loss 0.1186 | Val F1 0.4521 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  48/100 | Loss 0.1194 | Val F1 0.4521 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  49/100 | Loss 0.1154 | Val F1 0.4521 | LR 2.00e-04 | 0.4s (patience 16/20)
Epoch  50/100 | Loss 0.1024 | Val F1 0.4761 | LR 1.00e-04 | 0.4s (patience 15/20)
Epoch  51/100 | Loss 0.0987 | Val F1 0.4761 | LR 1.00e-04 | 0.4s (patience 15/20)
Epoch  52/100 | Loss 0.0916 | Val F1 0.4761 | LR 1.00e-04 | 0.4s (patience 15/20)
Epoch  53/100 | Loss 0.0970 | Val F1 0.4761 | LR 1.00e-04 | 0.4s (patience 15/20)
Epoch  54/100 | Loss 0.0965 | Val F1 0.4761 | LR 1.00e-04 | 0.4s (patience 15/20)
Epoch  55/100 | Loss 0.0888 | Val F1 0.4655 | LR 1.00e-04 | 0.4s (patience 14/20)
Epoch  56/100 | Loss 0.0917 | Val F1 0.4655 | LR 1.00e-04 | 0.4s (patience 14/20)
Epoch  57/100 | Loss 0.0855 | Val F1 0.4655 | LR 1.00e-04 | 0.4s (patience 14/20)
Epoch  58/100 | Loss 0.0841 | Val F1 0.4655 | LR 1.00e-04 | 0.4s (patience 14/20)
Epoch  59/100 | Loss 0.0777 | Val F1 0.4655 | LR 1.00e-04 | 0.4s (patience 14/20)
Epoch  60/100 | Loss 0.0721 | Val F1 0.5001 | LR 1.00e-04 | 0.4s ✓ NEW BEST
Epoch  61/100 | Loss 0.0792 | Val F1 0.5001 | LR 1.00e-04 | 0.4s (patience 20/20)
Epoch  62/100 | Loss 0.0846 | Val F1 0.5001 | LR 1.00e-04 | 0.4s (patience 20/20)
Epoch  63/100 | Loss 0.0767 | Val F1 0.5001 | LR 1.00e-04 | 0.4s (patience 20/20)
Epoch  64/100 | Loss 0.0711 | Val F1 0.5001 | LR 1.00e-04 | 0.4s (patience 20/20)
Epoch  65/100 | Loss 0.0686 | Val F1 0.4867 | LR 1.00e-04 | 0.4s (patience 19/20)
Epoch  66/100 | Loss 0.0740 | Val F1 0.4867 | LR 1.00e-04 | 0.4s (patience 19/20)
Epoch  67/100 | Loss 0.0731 | Val F1 0.4867 | LR 1.00e-04 | 0.4s (patience 19/20)
Epoch  68/100 | Loss 0.0693 | Val F1 0.4867 | LR 1.00e-04 | 0.4s (patience 19/20)
Epoch  69/100 | Loss 0.0658 | Val F1 0.4867 | LR 1.00e-04 | 0.4s (patience 19/20)
Epoch  70/100 | Loss 0.0666 | Val F1 0.4943 | LR 1.00e-04 | 0.4s (patience 18/20)
Epoch  71/100 | Loss 0.0610 | Val F1 0.4943 | LR 1.00e-04 | 0.4s (patience 18/20)
Epoch  72/100 | Loss 0.0628 | Val F1 0.4943 | LR 1.00e-04 | 0.4s (patience 18/20)
Epoch  73/100 | Loss 0.0660 | Val F1 0.4943 | LR 1.00e-04 | 0.4s (patience 18/20)
Epoch  74/100 | Loss 0.0566 | Val F1 0.4943 | LR 1.00e-04 | 0.4s (patience 18/20)
Epoch  75/100 | Loss 0.0580 | Val F1 0.4639 | LR 1.00e-04 | 0.4s (patience 17/20)
Epoch  76/100 | Loss 0.0565 | Val F1 0.4639 | LR 1.00e-04 | 0.4s (patience 17/20)
Epoch  77/100 | Loss 0.0625 | Val F1 0.4639 | LR 1.00e-04 | 0.4s (patience 17/20)
Epoch  78/100 | Loss 0.0516 | Val F1 0.4639 | LR 1.00e-04 | 0.4s (patience 17/20)
Epoch  79/100 | Loss 0.0530 | Val F1 0.4639 | LR 1.00e-04 | 0.4s (patience 17/20)
Epoch  80/100 | Loss 0.0518 | Val F1 0.4940 | LR 1.00e-04 | 0.4s (patience 16/20)
Epoch  81/100 | Loss 0.0536 | Val F1 0.4940 | LR 1.00e-04 | 0.4s (patience 16/20)
Epoch  82/100 | Loss 0.0526 | Val F1 0.4940 | LR 1.00e-04 | 0.4s (patience 16/20)
Epoch  83/100 | Loss 0.0514 | Val F1 0.4940 | LR 1.00e-04 | 0.4s (patience 16/20)
Epoch  84/100 | Loss 0.0483 | Val F1 0.4940 | LR 1.00e-04 | 0.4s (patience 16/20)
Epoch  85/100 | Loss 0.0515 | Val F1 0.4759 | LR 5.00e-05 | 0.4s (patience 15/20)
Epoch  86/100 | Loss 0.0405 | Val F1 0.4759 | LR 5.00e-05 | 0.4s (patience 15/20)
Epoch  87/100 | Loss 0.0435 | Val F1 0.4759 | LR 5.00e-05 | 0.4s (patience 15/20)
Epoch  88/100 | Loss 0.0449 | Val F1 0.4759 | LR 5.00e-05 | 0.4s (patience 15/20)
Epoch  89/100 | Loss 0.0458 | Val F1 0.4759 | LR 5.00e-05 | 0.4s (patience 15/20)
Epoch  90/100 | Loss 0.0454 | Val F1 0.4787 | LR 5.00e-05 | 0.4s (patience 14/20)
Epoch  91/100 | Loss 0.0403 | Val F1 0.4787 | LR 5.00e-05 | 0.4s (patience 14/20)
Epoch  92/100 | Loss 0.0384 | Val F1 0.4787 | LR 5.00e-05 | 0.4s (patience 14/20)
Epoch  93/100 | Loss 0.0402 | Val F1 0.4787 | LR 5.00e-05 | 0.4s (patience 14/20)
Epoch  94/100 | Loss 0.0354 | Val F1 0.4787 | LR 5.00e-05 | 0.4s (patience 14/20)
Epoch  95/100 | Loss 0.0429 | Val F1 0.4882 | LR 5.00e-05 | 0.4s (patience 13/20)
Epoch  96/100 | Loss 0.0396 | Val F1 0.4882 | LR 5.00e-05 | 0.4s (patience 13/20)
Epoch  97/100 | Loss 0.0396 | Val F1 0.4882 | LR 5.00e-05 | 0.4s (patience 13/20)
Epoch  98/100 | Loss 0.0381 | Val F1 0.4882 | LR 5.00e-05 | 0.4s (patience 13/20)
Epoch  99/100 | Loss 0.0420 | Val F1 0.4882 | LR 5.00e-05 | 0.4s (patience 13/20)
Epoch 100/100 | Loss 0.0377 | Val F1 0.4930 | LR 5.00e-05 | 0.4s (patience 12/20)

✓ Deep training done in 0.62 min | Best val F1=0.5001

============================================================
EVALUATION - DeepGBM (h+6)
============================================================

[Search xgb_weight] best_w=0.80 on valid (F1_macro=0.6517)

Train Results (h+6):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.9951, F1_macro=0.9949
XGB-only:            Acc=1.0000, F1_macro=1.0000
Deep+XGB (w=0.80): Acc=1.0000, F1_macro=1.0000

Naive baseline:
  Acc:     0.4667
  F1Macro: 0.4575

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     1.0000    1.0000    1.0000      2300
         low     1.0000    1.0000    1.0000      2713
         mid     1.0000    1.0000    1.0000      1929

    accuracy                         1.0000      6942
   macro avg     1.0000    1.0000    1.0000      6942
weighted avg     1.0000    1.0000    1.0000      6942


Valid Results (h+6):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.5476, F1_macro=0.5001
XGB-only:            Acc=0.6726, F1_macro=0.6420
Deep+XGB (w=0.80): Acc=0.6726, F1_macro=0.6517

Naive baseline:
  Acc:     0.7083
  F1Macro: 0.6245

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     0.4571    0.9412    0.6154        17
         low     0.9538    0.6200    0.7515       100
         mid     0.5147    0.6863    0.5882        51

    accuracy                         0.6726       168
   macro avg     0.6419    0.7492    0.6517       168
weighted avg     0.7703    0.6726    0.6882       168


Test Results (h+6):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.5602, F1_macro=0.5083
XGB-only:            Acc=0.6213, F1_macro=0.5654
Deep+XGB (w=0.80): Acc=0.6173, F1_macro=0.5574

Naive baseline:
  Acc:     0.4193
  F1Macro: 0.3799

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     0.5023    0.8718    0.6374       624
         low     0.8495    0.6764    0.7532      1060
         mid     0.3905    0.2204    0.2818       558

    accuracy                         0.6173      2242
   macro avg     0.5808    0.5895    0.5574      2242
weighted avg     0.6386    0.6173    0.6036      2242

Training history saved to: /app/classification-analysis/deepgbm_unified_v2/h6/training_history_h6.png
Confusion matrices saved to: /app/classification-analysis/deepgbm_unified_v2/h6/confusion_matrices_h6.png
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:39:27] WARNING: /workspace/src/c_api/c_api.cc:1240: Saving into deprecated binary model format, please consider using `json` or `ubj`. Model format will default to JSON in XGBoost 2.2 if not specified.
  warnings.warn(smsg, UserWarning)
Models & results saved to: /app/classification-analysis/deepgbm_unified_v2/h6

================================================================================
Completed horizon h+6
================================================================================


################################################################################
# HORIZON: 12 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+12
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:39:28] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.07383	valid-mlogloss:1.10035
[1]	train-mlogloss:1.05019	valid-mlogloss:1.09948
[2]	train-mlogloss:1.02794	valid-mlogloss:1.10108
[3]	train-mlogloss:1.00550	valid-mlogloss:1.10060
[4]	train-mlogloss:0.98390	valid-mlogloss:1.09830
[5]	train-mlogloss:0.96367	valid-mlogloss:1.09724
[6]	train-mlogloss:0.94422	valid-mlogloss:1.09812
[7]	train-mlogloss:0.92445	valid-mlogloss:1.09939
[8]	train-mlogloss:0.90564	valid-mlogloss:1.09660
[9]	train-mlogloss:0.88764	valid-mlogloss:1.09524
[10]	train-mlogloss:0.86998	valid-mlogloss:1.09030
[11]	train-mlogloss:0.85219	valid-mlogloss:1.09137
[12]	train-mlogloss:0.83624	valid-mlogloss:1.09376
[13]	train-mlogloss:0.82089	valid-mlogloss:1.08659
[14]	train-mlogloss:0.80517	valid-mlogloss:1.08860
[15]	train-mlogloss:0.78967	valid-mlogloss:1.08951
[16]	train-mlogloss:0.77494	valid-mlogloss:1.08692
[17]	train-mlogloss:0.76049	valid-mlogloss:1.08380
[18]	train-mlogloss:0.74630	valid-mlogloss:1.08367
[19]	train-mlogloss:0.73280	valid-mlogloss:1.08208
[20]	train-mlogloss:0.71959	valid-mlogloss:1.08824
[21]	train-mlogloss:0.70626	valid-mlogloss:1.08825
[22]	train-mlogloss:0.69378	valid-mlogloss:1.09014
[23]	train-mlogloss:0.68182	valid-mlogloss:1.08664
[24]	train-mlogloss:0.66927	valid-mlogloss:1.08483
[25]	train-mlogloss:0.65806	valid-mlogloss:1.08822
[26]	train-mlogloss:0.64719	valid-mlogloss:1.08525
[27]	train-mlogloss:0.63640	valid-mlogloss:1.08637
[28]	train-mlogloss:0.62603	valid-mlogloss:1.08428
[29]	train-mlogloss:0.61589	valid-mlogloss:1.08492
[30]	train-mlogloss:0.60607	valid-mlogloss:1.08436
[31]	train-mlogloss:0.59606	valid-mlogloss:1.07996
[32]	train-mlogloss:0.58618	valid-mlogloss:1.08074
[33]	train-mlogloss:0.57702	valid-mlogloss:1.08214
[34]	train-mlogloss:0.56725	valid-mlogloss:1.08365
[35]	train-mlogloss:0.55846	valid-mlogloss:1.08094
[36]	train-mlogloss:0.54950	valid-mlogloss:1.08382
[37]	train-mlogloss:0.54103	valid-mlogloss:1.08573
[38]	train-mlogloss:0.53239	valid-mlogloss:1.08543
[39]	train-mlogloss:0.52447	valid-mlogloss:1.08702
[40]	train-mlogloss:0.51637	valid-mlogloss:1.08831
[41]	train-mlogloss:0.50848	valid-mlogloss:1.09091
[42]	train-mlogloss:0.50096	valid-mlogloss:1.09292
[43]	train-mlogloss:0.49344	valid-mlogloss:1.09029
[44]	train-mlogloss:0.48577	valid-mlogloss:1.08826
[45]	train-mlogloss:0.47838	valid-mlogloss:1.09008
[46]	train-mlogloss:0.47119	valid-mlogloss:1.09361
[47]	train-mlogloss:0.46463	valid-mlogloss:1.09508
[48]	train-mlogloss:0.45748	valid-mlogloss:1.09855
[49]	train-mlogloss:0.45096	valid-mlogloss:1.09888
[50]	train-mlogloss:0.44439	valid-mlogloss:1.09460
[51]	train-mlogloss:0.43823	valid-mlogloss:1.09255
[52]	train-mlogloss:0.43221	valid-mlogloss:1.09454
[53]	train-mlogloss:0.42620	valid-mlogloss:1.09694
[54]	train-mlogloss:0.42024	valid-mlogloss:1.09587
[55]	train-mlogloss:0.41437	valid-mlogloss:1.09679
[56]	train-mlogloss:0.40856	valid-mlogloss:1.10015
[57]	train-mlogloss:0.40324	valid-mlogloss:1.10065
[58]	train-mlogloss:0.39750	valid-mlogloss:1.09622
[59]	train-mlogloss:0.39209	valid-mlogloss:1.09465
[60]	train-mlogloss:0.38715	valid-mlogloss:1.09356
[61]	train-mlogloss:0.38241	valid-mlogloss:1.09134
[62]	train-mlogloss:0.37778	valid-mlogloss:1.09195
[63]	train-mlogloss:0.37268	valid-mlogloss:1.09378
[64]	train-mlogloss:0.36748	valid-mlogloss:1.09354
[65]	train-mlogloss:0.36233	valid-mlogloss:1.09383
[66]	train-mlogloss:0.35759	valid-mlogloss:1.09323
[67]	train-mlogloss:0.35288	valid-mlogloss:1.09385
[68]	train-mlogloss:0.34857	valid-mlogloss:1.09369
[69]	train-mlogloss:0.34430	valid-mlogloss:1.09396
[70]	train-mlogloss:0.33955	valid-mlogloss:1.09159
[71]	train-mlogloss:0.33500	valid-mlogloss:1.09167
[72]	train-mlogloss:0.33094	valid-mlogloss:1.09071
[73]	train-mlogloss:0.32658	valid-mlogloss:1.09396
[74]	train-mlogloss:0.32254	valid-mlogloss:1.09274
[75]	train-mlogloss:0.31882	valid-mlogloss:1.09178
[76]	train-mlogloss:0.31486	valid-mlogloss:1.08948
[77]	train-mlogloss:0.31135	valid-mlogloss:1.08700
[78]	train-mlogloss:0.30767	valid-mlogloss:1.08460
[79]	train-mlogloss:0.30403	valid-mlogloss:1.08192
[80]	train-mlogloss:0.30031	valid-mlogloss:1.08086
[81]	train-mlogloss:0.29691	valid-mlogloss:1.07859
[82]	train-mlogloss:0.29354	valid-mlogloss:1.07568
[83]	train-mlogloss:0.29025	valid-mlogloss:1.07501
[84]	train-mlogloss:0.28671	valid-mlogloss:1.07617
[85]	train-mlogloss:0.28375	valid-mlogloss:1.07651
[86]	train-mlogloss:0.28063	valid-mlogloss:1.07737
[87]	train-mlogloss:0.27721	valid-mlogloss:1.07935
[88]	train-mlogloss:0.27437	valid-mlogloss:1.07854
[89]	train-mlogloss:0.27096	valid-mlogloss:1.07913
[90]	train-mlogloss:0.26827	valid-mlogloss:1.08017
[91]	train-mlogloss:0.26507	valid-mlogloss:1.08166
[92]	train-mlogloss:0.26218	valid-mlogloss:1.08064
[93]	train-mlogloss:0.25952	valid-mlogloss:1.08143
[94]	train-mlogloss:0.25664	valid-mlogloss:1.08383
[95]	train-mlogloss:0.25404	valid-mlogloss:1.08623
[96]	train-mlogloss:0.25150	valid-mlogloss:1.09000
[97]	train-mlogloss:0.24889	valid-mlogloss:1.09037
[98]	train-mlogloss:0.24621	valid-mlogloss:1.08957
[99]	train-mlogloss:0.24364	valid-mlogloss:1.09149
[100]	train-mlogloss:0.24111	valid-mlogloss:1.09253
[101]	train-mlogloss:0.23893	valid-mlogloss:1.09108
[102]	train-mlogloss:0.23698	valid-mlogloss:1.09524
[103]	train-mlogloss:0.23431	valid-mlogloss:1.09606
[104]	train-mlogloss:0.23163	valid-mlogloss:1.09612
[105]	train-mlogloss:0.22942	valid-mlogloss:1.10076
[106]	train-mlogloss:0.22742	valid-mlogloss:1.10320
[107]	train-mlogloss:0.22526	valid-mlogloss:1.10424
[108]	train-mlogloss:0.22272	valid-mlogloss:1.10597
[109]	train-mlogloss:0.22036	valid-mlogloss:1.10600
[110]	train-mlogloss:0.21820	valid-mlogloss:1.10398
[111]	train-mlogloss:0.21614	valid-mlogloss:1.10377
[112]	train-mlogloss:0.21405	valid-mlogloss:1.10445
[113]	train-mlogloss:0.21176	valid-mlogloss:1.10607
[114]	train-mlogloss:0.20986	valid-mlogloss:1.10653
[115]	train-mlogloss:0.20804	valid-mlogloss:1.10560
[116]	train-mlogloss:0.20614	valid-mlogloss:1.10561
[117]	train-mlogloss:0.20437	valid-mlogloss:1.10161
[118]	train-mlogloss:0.20222	valid-mlogloss:1.10167
[119]	train-mlogloss:0.20044	valid-mlogloss:1.10164
[120]	train-mlogloss:0.19879	valid-mlogloss:1.10241
[121]	train-mlogloss:0.19708	valid-mlogloss:1.10269
[122]	train-mlogloss:0.19510	valid-mlogloss:1.10519
[123]	train-mlogloss:0.19349	valid-mlogloss:1.10461
[124]	train-mlogloss:0.19168	valid-mlogloss:1.10526
[125]	train-mlogloss:0.19017	valid-mlogloss:1.10721
[126]	train-mlogloss:0.18854	valid-mlogloss:1.10717
[127]	train-mlogloss:0.18686	valid-mlogloss:1.10475
[128]	train-mlogloss:0.18511	valid-mlogloss:1.10580
[129]	train-mlogloss:0.18380	valid-mlogloss:1.10627
[130]	train-mlogloss:0.18227	valid-mlogloss:1.10667
[131]	train-mlogloss:0.18062	valid-mlogloss:1.10482
[132]	train-mlogloss:0.17910	valid-mlogloss:1.10820
[133]	train-mlogloss:0.17755	valid-mlogloss:1.10849
[Extract leaf indices & hash]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:39:33] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)

✓ Data loaded. Train=(6942, 823), Valid=(168, 823), Test=(2236, 823)
Class distribution (train):
0    0.389945
1    0.278450
2    0.331605
Name: proportion, dtype: float64

============================================================
Train DeepGBM Deep Component (h+12)
============================================================

[Building Deep component...]
Deep params: 3,318,403 | Device: cuda
